"dataset","model","prompt_type","num_samples","tflint_run_rate","trivy_run_rate","mean_tflint_total","mean_tflint_error","mean_tflint_warning","mean_tflint_notice","mean_tflint_info","mean_trivy_total","mean_trivy_critical","mean_trivy_high","mean_trivy_medium","mean_trivy_low","mean_trivy_unknown"
"iac_eval_paraphrased","ministral-8b","few-shot","451","0.98","1.0","2.7583","0.0","2.7583","0.0","0.0","4.4945","0.3126","1.8182","1.0421","1.3215","0.0"
"iac_eval_paraphrased","ministral-8b","zero-shot","451","0.969","1.0","1.3947","0.0","1.3947","0.0","0.0","4.7162","0.4102","1.7206","1.0887","1.4967","0.0"
"iac_eval_paraphrased","phi-4","cot","451","0.8271","0.9978","1.7982","0.0","1.7982","0.0","0.0","3.8559","0.1996","1.5987","0.9978","1.0599","0.0"
"iac_eval_paraphrased","phi-4","few-shot","451","0.8647","1.0","2.0576","0.0","2.0576","0.0","0.0","3.4102","0.1308","1.4745","0.9424","0.8625","0.0"
"iac_eval_paraphrased","phi-4","zero-shot","451","0.8514","1.0","1.8736","0.0","1.8736","0.0","0.0","3.816","0.1796","1.6452","0.9601","1.031","0.0"
"iac_eval_paraphrased","qwen3-235b","cot","451","0.9579","1.0","2.102","0.0","2.102","0.0","0.0","4.1818","0.3415","1.6208","0.8647","1.3548","0.0"
"iac_eval_paraphrased","qwen3-235b","few-shot","451","0.98","1.0","2.4035","0.0","2.4035","0.0","0.0","4.3614","0.2528","1.8404","1.0466","1.2217","0.0"
"iac_eval_paraphrased","qwen3-235b","zero-shot","451","0.9379","0.969","1.9667","0.0","1.9667","0.0","0.0","4.204","0.3126","1.6918","0.9401","1.2594","0.0"
"llm_iac","claude-4.5-sonnet","cot","461","0.9848","1.0","0.5401","0.0","0.5401","0.0","0.0","8.2581","1.1822","2.7636","2.3796","1.9328","0.0"
"llm_iac","claude-4.5-sonnet","few-shot","461","0.987","1.0","2.5336","0.0","2.5336","0.0","0.0","9.3449","0.9458","3.1367","2.5466","2.7158","0.0"
"llm_iac","claude-4.5-sonnet","zero-shot","461","0.9935","1.0","1.0174","0.0","1.0174","0.0","0.0","8.9523","1.1887","2.9523","2.6291","2.1822","0.0"
"llm_iac","gemini-3-flash","cot","380","0.9526","1.0","1.9553","0.0","1.9553","0.0","0.0","8.5079","0.7921","2.5395","2.3289","2.8474","0.0"
"llm_iac","gemini-3-flash","few-shot","461","0.9826","1.0","2.577","0.0","2.577","0.0","0.0","8.5575","0.705","2.6356","2.4273","2.7896","0.0"
"llm_iac","gemini-3-flash","zero-shot","60","0.6333","0.2333","0.6667","0.0","0.6667","0.0","0.0","1.5667","0.0667","0.5833","0.6167","0.3","0.0"
"llm_iac","gemma-3-27b","cot","461","0.9523","1.0","1.3037","0.0","1.3037","0.0","0.0","7.5271","0.7028","2.2993","2.0651","2.4599","0.0"
"llm_iac","gemma-3-27b","few-shot","80","0.9875","1.0","2.15","0.0","2.15","0.0","0.0","5.5125","0.475","1.975","1.375","1.6875","0.0"
"llm_iac","gemma-3-27b","zero-shot","140","0.8857","0.25","1.1571","0.0","1.1571","0.0","0.0","1.5643","0.0857","0.4429","0.6071","0.4286","0.0"
"llm_iac","glm-4.7","few-shot","461","0.9566","0.9978","2.9892","0.0","2.9892","0.0","0.0","7.9306","0.6377","2.5944","2.1714","2.5271","0.0"
"llm_iac","glm-4.7","zero-shot","461","0.9306","0.9892","2.4729","0.0","2.4729","0.0","0.0","8.0347","0.7831","2.436","2.128","2.6876","0.0"
"llm_iac","grok-4.1-fast","cot","461","0.9371","0.9978","0.7614","0.0","0.7614","0.0","0.0","9.8351","1.0174","2.7722","2.59","3.4555","0.0"
"llm_iac","grok-4.1-fast","few-shot","461","0.9393","1.0","3.0759","0.0","3.0759","0.0","0.0","9.9046","0.859","2.9349","2.5119","3.5987","0.0"
"llm_iac","grok-4.1-fast","zero-shot","460","0.9304","1.0","0.7717","0.0","0.7717","0.0","0.0","10.45","0.9587","2.9652","2.7609","3.7652","0.0"
"llm_iac","kimi-k2.5","cot","461","0.9176","1.0","1.1974","0.0","1.1974","0.0","0.0","8.5423","1.0672","2.7852","2.2581","2.4317","0.0"
"llm_iac","kimi-k2.5","few-shot","460","0.9717","1.0","2.7348","0.0","2.7348","0.0","0.0","10.6109","1.037","3.287","2.487","3.8","0.0"
"llm_iac","kimi-k2.5","zero-shot","460","0.9413","1.0","1.8065","0.0","1.8065","0.0","0.0","10.0065","1.1478","3.1348","2.4152","3.3087","0.0"
"llm_iac","ministral-8b","cot","461","0.885","1.0","0.8633","0.0","0.8633","0.0","0.0","8.8937","0.8568","2.5597","2.4642","3.013","0.0"
"llm_iac","ministral-8b","few-shot","461","0.9176","0.9978","2.833","0.0","2.833","0.0","0.0","8.6833","0.744","2.8026","2.3623","2.7744","0.0"
"llm_iac","ministral-8b","zero-shot","461","0.8677","1.0","0.7744","0.0","0.7744","0.0","0.0","8.1367","0.8091","2.3948","2.1627","2.7701","0.0"
"llm_iac","phi-4","cot","461","0.7527","1.0","2.1171","0.0","2.1171","0.0","0.0","5.7852","0.4642","1.7787","1.7636","1.7787","0.0"
"llm_iac","phi-4","few-shot","461","0.7679","1.0","2.269","0.0","2.269","0.0","0.0","6.2755","0.4035","2.1974","1.8004","1.8742","0.0"
"llm_iac","phi-4","zero-shot","80","0.7125","0.325","1.6375","0.0","1.6375","0.0","0.0","1.275","0.0625","0.5125","0.3625","0.3375","0.0"
"llm_iac","qwen3-235b","cot","60","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"llm_iac","qwen3-235b","few-shot","461","0.9176","1.0","2.8286","0.0","2.8286","0.0","0.0","8.8373","0.7245","2.8265","2.2321","3.0542","0.0"
"llm_iac","qwen3-235b","zero-shot","460","0.9304","0.9891","2.4022","0.0","2.4022","0.0","0.0","9.1348","0.7891","2.9413","2.1783","3.2261","0.0"
"llm_iac_paraphrased","claude-4.5-sonnet","cot","458","0.9782","1.0","0.5262","0.0","0.5262","0.0","0.0","8.083","1.0873","2.6878","2.4017","1.9061","0.0"
